user_id,age,gender,daily_screen_time_hours,phone_usage_hours,laptop_usage_hours,tablet_usage_hours,tv_usage_hours,social_media_hours,work_related_hours,entertainment_hours,gaming_hours,sleep_duration_hours,sleep_quality,mood_rating,stress_level,physical_activity_hours_per_week,location_type,mental_health_score,uses_wellness_apps,eats_healthy,caffeine_intake_mg_per_day,weekly_anxiety_score,weekly_depression_score,mindfulness_minutes_per_day
53,21,Male,6.8,1.7,1.2,1.0,2.2,2.8,3.6,1.6,1.6,7.7,4.0,6.5,4,4.5,Suburban,66.0,True,True,9.6,8.0,1.0,30.0
54,35,Male,7.3,0.3,2.6,1.4,3.8,4.5,4.0,0.4,0.8,6.3,4.0,1.0,10,0.0,Suburban,46.0,True,False,187.3,15.0,20.0,8.4
55,23,Male,5.7,0.9,2.1,0.6,1.1,4.5,3.8,1.1,0.6,8.3,5.0,1.0,10,0.0,Urban,48.0,False,False,156.6,18.0,11.0,14.0
56,53,Male,2.6,2.3,0.8,0.4,0.0,0.8,1.1,2.7,2.7,8.1,5.0,8.6,1,7.6,Suburban,89.0,True,False,133.5,1.0,2.0,24.7
57,32,Male,5.6,1.2,2.6,1.0,1.2,4.1,3.9,2.9,1.8,6.7,4.0,4.3,7,1.7,Suburban,60.0,False,False,152.1,10.0,5.0,21.9
58,18,Male,9.0,3.0,1.8,1.0,2.2,3.1,3.5,1.3,1.7,7.3,3.0,5.7,5,4.9,Urban,63.0,True,False,196.8,8.0,4.0,14.9
59,39,Female,3.5,1.1,1.8,0.7,1.0,2.6,3.4,1.9,1.4,7.2,4.0,4.0,4,2.2,Suburban,61.0,False,True,131.1,8.0,6.0,21.5
60,74,Female,5.1,2.4,0.9,1.1,1.5,3.7,4.0,1.6,1.1,6.7,3.0,4.5,6,2.1,Urban,53.0,True,False,95.2,6.0,8.0,19.6
61,28,Male,3.6,1.3,1.5,0.2,0.8,1.1,1.4,3.0,3.3,8.0,5.0,10.0,1,3.7,Suburban,75.0,True,False,92.0,3.0,1.0,27.9
62,64,Male,5.0,2.3,0.6,0.6,2.6,3.5,3.8,1.5,1.3,6.9,5.0,3.6,7,1.3,Urban,62.0,False,True,171.6,8.0,4.0,14.9
63,72,Female,1.4,0.6,0.0,0.0,2.1,1.0,1.4,3.2,2.9,7.2,5.0,7.9,1,8.1,Urban,91.0,True,True,196.2,4.0,0.0,18.1
64,23,Female,5.5,1.6,1.2,1.4,0.6,4.5,4.0,0.7,1.0,7.6,4.0,1.0,10,2.0,Rural,53.0,False,True,113.5,14.0,15.0,13.9
65,40,Female,2.7,1.2,1.4,0.3,0.9,2.4,3.5,2.8,1.4,7.6,4.0,6.5,4,1.6,Urban,61.0,False,False,76.5,6.0,3.0,22.2
66,67,Other,5.8,2.8,1.7,1.4,0.7,1.6,2.4,2.1,3.3,7.8,4.0,7.2,2,4.0,Suburban,74.0,False,False,0.0,8.0,0.0,34.7
67,16,Female,6.3,2.4,2.8,0.2,0.0,3.5,4.2,1.2,1.0,7.1,3.0,4.2,6,4.6,Urban,61.0,False,True,221.2,10.0,5.0,18.2
68,34,Other,2.2,0.9,0.8,0.8,0.6,1.5,2.4,1.8,3.0,7.5,5.0,9.3,2,3.0,Suburban,79.0,False,False,81.4,6.0,3.0,25.9
69,42,Male,2.3,1.8,1.1,0.6,0.0,2.2,3.2,3.1,2.1,6.7,4.0,7.5,3,7.3,Suburban,81.0,False,False,144.4,3.0,5.0,13.9
70,61,Male,5.4,1.3,2.3,0.2,2.3,4.5,3.7,1.5,0.5,7.6,4.0,1.0,9,1.0,Rural,56.0,True,False,134.6,11.0,15.0,6.5
71,74,Male,5.8,2.9,0.7,0.9,2.4,4.4,4.1,2.0,1.2,7.3,4.0,3.5,8,1.3,Urban,55.0,False,False,142.6,12.0,7.0,13.4
72,21,Male,8.3,3.1,1.7,1.4,1.1,4.5,3.9,1.1,1.8,7.5,4.0,1.0,9,0.0,Urban,66.0,False,False,230.4,12.0,11.0,6.8
73,58,Male,3.9,0.7,1.1,1.7,1.6,2.0,3.1,1.9,2.0,7.9,4.0,7.3,3,3.0,Rural,78.0,False,False,169.5,8.0,7.0,24.2
74,22,Female,8.3,2.7,1.2,1.0,2.5,4.1,3.9,2.3,0.9,7.2,3.0,1.4,7,2.0,Rural,55.0,False,True,191.2,10.0,10.0,12.1
75,61,Female,4.8,1.3,2.3,0.0,2.2,3.7,3.1,1.8,1.2,7.0,5.0,2.8,6,0.8,Suburban,60.0,False,False,116.9,10.0,5.0,20.6
76,49,Female,5.5,1.8,1.1,0.0,3.4,3.2,4.0,2.5,0.9,7.1,4.0,4.3,5,4.0,Rural,72.0,False,False,158.1,12.0,6.0,17.7
77,28,Male,6.9,2.0,2.4,1.3,1.7,1.4,2.1,3.5,2.2,7.4,3.0,8.6,2,4.9,Urban,75.0,True,True,112.6,5.0,3.0,21.3
78,31,Female,5.7,3.6,0.0,0.0,2.9,3.9,3.6,1.8,1.6,7.3,4.0,3.4,7,3.8,Rural,59.0,False,True,60.2,11.0,13.0,23.5
79,50,Female,2.7,1.1,0.0,1.0,1.5,0.9,1.2,3.1,2.6,8.4,4.0,8.8,1,6.0,Rural,82.0,True,True,149.4,3.0,1.0,30.0
80,64,Male,3.5,2.8,0.0,0.7,1.3,2.4,3.2,0.9,1.2,8.2,4.0,7.0,4,2.8,Suburban,71.0,False,False,78.5,6.0,3.0,13.6
81,54,Female,3.9,0.9,0.2,1.4,2.1,1.6,2.2,2.7,2.3,7.4,5.0,8.0,2,3.5,Rural,81.0,True,True,48.7,1.0,2.0,34.6
82,18,Male,8.2,0.9,3.5,0.9,2.0,4.5,4.0,0.6,1.1,7.0,3.0,1.0,10,0.0,Suburban,36.0,False,True,148.1,18.0,12.0,13.6
83,16,Male,5.7,2.0,1.5,0.6,0.8,4.3,4.0,1.6,1.0,6.8,4.0,3.3,8,2.9,Urban,55.0,False,True,175.8,13.0,9.0,20.0
84,20,Female,5.6,2.0,0.7,1.8,0.6,4.5,3.9,0.8,1.7,7.2,3.0,1.0,10,0.8,Urban,53.0,True,True,230.2,18.0,13.0,5.1
85,68,Male,4.1,0.2,2.4,1.1,1.5,2.6,3.4,1.7,2.7,7.9,4.0,5.3,4,3.1,Urban,82.0,False,True,155.6,8.0,3.0,27.7
86,56,Male,5.3,3.0,2.5,0.9,0.0,4.5,3.9,1.9,1.2,7.1,3.0,1.0,9,0.0,Rural,49.0,False,False,249.5,18.0,16.0,15.2
87,18,Female,2.6,0.2,0.2,0.2,1.1,4.1,3.8,1.7,1.6,7.5,4.0,3.0,7,0.9,Suburban,59.0,True,False,207.4,12.0,9.0,10.9
88,68,Female,5.5,1.9,4.2,0.0,0.4,4.0,3.9,1.1,1.3,6.7,5.0,5.4,6,1.0,Urban,63.0,False,False,184.4,8.0,4.0,17.8
89,43,Male,5.5,3.2,1.8,0.4,0.8,1.2,2.7,2.6,1.7,7.0,5.0,8.4,2,4.1,Urban,87.0,False,True,171.8,1.0,4.0,24.1
90,32,Male,6.0,4.0,1.9,0.0,0.6,4.0,3.9,1.4,0.4,7.6,4.0,4.4,6,4.8,Rural,64.0,False,False,77.2,5.0,2.0,11.0
91,40,Male,5.1,1.7,2.0,0.4,2.2,2.2,3.5,2.5,1.9,7.2,4.0,8.0,3,4.9,Urban,82.0,True,True,115.3,5.0,8.0,35.6
92,58,Female,4.5,0.7,2.0,1.1,1.8,2.2,2.4,1.9,1.7,6.8,4.0,8.6,3,3.7,Suburban,81.0,True,False,249.4,3.0,7.0,29.7
93,48,Male,5.5,3.2,0.8,1.2,1.5,3.9,3.8,1.9,0.7,7.4,4.0,3.5,7,1.0,Suburban,64.0,False,False,202.4,9.0,13.0,9.9
94,24,Male,8.2,2.8,3.8,0.4,1.0,4.5,3.8,1.0,0.5,7.0,3.0,1.0,10,0.0,Urban,45.0,False,False,92.6,17.0,12.0,10.6
95,50,Female,6.2,1.6,1.2,2.4,2.4,4.5,4.2,1.8,1.8,7.8,5.0,2.0,8,2.3,Urban,61.0,True,True,138.3,14.0,14.0,14.3
96,28,Female,7.8,1.4,2.6,1.4,2.3,4.5,4.1,0.8,1.8,6.9,3.0,1.4,9,0.0,Urban,56.0,False,False,171.8,14.0,13.0,11.9
97,45,Male,3.6,1.4,1.0,0.6,1.3,2.1,3.0,1.9,2.3,7.1,4.0,8.0,3,2.5,Urban,76.0,False,True,72.5,5.0,7.0,24.0
98,62,Female,5.4,1.7,0.8,1.3,2.8,4.5,4.1,1.8,0.7,7.8,4.0,1.5,8,0.0,Urban,45.0,True,False,189.0,5.0,13.0,7.5
99,29,Female,6.9,2.3,3.6,0.3,1.2,4.1,4.2,1.4,1.3,6.7,3.0,3.0,7,6.7,Rural,65.0,True,True,169.7,8.0,6.0,18.5
100,22,Male,6.0,1.5,1.4,0.8,1.6,3.6,3.7,2.0,1.2,6.6,3.0,2.4,7,4.7,Urban,58.0,True,True,144.7,14.0,2.0,21.6
101,28,Male,4.0,1.6,1.5,0.4,0.8,1.8,2.2,2.5,2.7,7.0,5.0,8.7,2,5.1,Rural,84.0,True,False,157.8,5.0,3.0,33.7
102,37,Female,4.7,2.6,1.8,0.0,1.0,4.3,3.8,2.2,0.9,7.1,4.0,2.9,7,2.0,Urban,61.0,False,True,128.2,15.0,12.0,11.5
103,74,Male,5.6,0.7,4.4,0.9,0.8,1.4,2.4,2.0,1.8,6.4,5.0,8.4,2,5.8,Rural,78.0,False,False,247.0,2.0,5.0,22.6
104,71,Female,6.8,1.7,3.9,0.6,2.1,2.1,3.1,2.7,2.0,6.3,4.0,5.0,3,3.5,Rural,78.0,True,False,201.3,4.0,2.0,30.8
105,54,Male,4.8,0.5,2.9,0.6,1.8,4.5,4.0,1.2,1.0,7.8,4.0,1.0,9,0.2,Urban,51.0,False,False,153.8,15.0,10.0,13.8
106,35,Male,6.5,2.1,4.6,0.6,0.3,3.6,3.7,1.5,1.5,7.1,5.0,5.8,5,3.5,Urban,70.0,False,True,171.2,8.0,4.0,25.5
107,30,Male,2.6,0.3,0.5,0.1,2.0,1.5,2.5,2.5,2.0,7.6,5.0,7.2,2,3.8,Urban,79.0,False,False,22.8,4.0,4.0,34.4
108,59,Male,8.7,2.8,2.2,1.6,3.2,3.8,3.9,1.8,1.1,6.8,4.0,3.0,6,4.3,Suburban,66.0,True,True,125.2,9.0,7.0,25.6
109,32,Male,3.3,0.8,1.6,0.7,0.7,1.1,1.2,1.8,2.9,7.9,4.0,8.1,1,6.1,Urban,85.0,False,True,119.8,0.0,0.0,17.4
110,61,Male,1.0,0.4,0.0,0.4,0.7,1.0,1.4,2.5,2.7,7.5,5.0,9.2,1,6.1,Urban,89.0,True,True,13.8,1.0,2.0,19.8
111,67,Female,4.2,1.7,2.0,0.0,1.4,3.3,3.6,0.8,1.7,7.7,5.0,4.5,5,2.3,Urban,68.0,False,True,183.5,3.0,7.0,29.4
112,38,Other,7.7,3.5,1.0,1.4,2.8,4.5,4.0,0.8,0.5,7.1,4.0,1.0,10,1.2,Urban,52.0,False,True,183.8,14.0,10.0,14.0
113,40,Female,7.0,2.6,3.2,1.2,1.0,4.5,4.4,0.8,1.5,6.6,3.0,1.0,10,0.2,Urban,51.0,False,True,84.2,18.0,15.0,10.4
114,39,Female,3.9,0.3,1.1,0.6,3.2,2.4,2.8,2.4,1.7,7.8,5.0,7.7,3,8.4,Urban,90.0,False,True,47.2,1.0,1.0,26.5
115,74,Male,1.2,0.8,1.0,0.0,0.3,0.8,1.3,3.1,2.9,7.9,5.0,8.6,1,5.0,Suburban,80.0,False,True,118.9,0.0,0.0,18.9
116,74,Other,7.2,1.6,3.2,1.6,1.6,3.6,3.8,1.4,1.3,6.6,4.0,3.7,6,2.8,Suburban,60.0,False,True,82.5,8.0,12.0,14.1
117,74,Male,4.9,4.0,1.4,0.4,0.0,4.5,4.2,0.9,0.6,6.9,4.0,1.2,8,0.0,Urban,48.0,False,True,141.7,13.0,14.0,12.3
118,59,Female,3.6,1.2,2.8,0.2,0.5,1.1,1.8,2.6,2.3,7.8,5.0,9.4,1,3.9,Urban,81.0,True,False,116.5,1.0,4.0,23.3
119,55,Other,4.1,1.2,2.0,0.6,1.2,3.0,3.6,1.0,1.5,8.0,4.0,7.8,4,1.9,Urban,73.0,False,False,108.2,8.0,9.0,27.8
120,43,Female,7.0,3.4,2.0,0.8,1.7,3.2,3.7,0.7,1.6,7.3,4.0,5.6,5,2.0,Urban,57.0,False,False,109.4,9.0,6.0,29.0
121,29,Other,6.4,2.2,1.2,0.5,2.6,4.5,4.1,0.6,1.5,7.7,3.0,1.0,10,0.1,Suburban,42.0,False,True,128.6,9.0,13.0,12.4
122,59,Female,4.7,2.9,2.1,0.0,0.7,2.1,2.9,1.4,2.4,8.0,5.0,8.0,3,4.3,Urban,73.0,False,True,162.9,6.0,7.0,32.8
123,15,Male,5.8,1.3,1.4,0.7,1.8,4.5,4.1,0.4,1.3,7.2,4.0,1.0,10,0.0,Suburban,48.0,False,False,67.0,17.0,16.0,11.9
124,39,Male,2.8,1.9,0.6,1.2,0.1,0.9,1.5,2.8,3.0,7.7,5.0,8.8,1,4.0,Urban,88.0,False,True,86.9,1.0,0.0,16.5
125,21,Female,7.5,3.2,1.4,0.1,2.4,4.5,4.3,1.0,0.9,7.4,3.0,1.0,9,1.3,Urban,46.0,False,False,120.9,12.0,13.0,12.5
126,23,Male,9.4,1.9,2.9,1.5,2.7,4.5,3.9,1.6,0.7,6.2,3.0,1.5,9,1.5,Suburban,56.0,True,False,192.7,18.0,12.0,10.7
127,38,Female,7.6,3.0,2.1,1.1,2.4,4.5,4.1,1.9,1.1,7.5,4.0,2.0,8,0.9,Suburban,64.0,False,False,103.9,15.0,14.0,15.4
128,15,Other,9.1,2.3,2.3,0.9,2.4,4.5,3.7,0.9,1.9,7.6,3.0,1.0,10,0.8,Suburban,52.0,True,False,242.6,17.0,11.0,12.0
129,58,Male,3.1,1.1,1.5,0.0,1.3,2.1,2.9,1.9,2.0,7.3,3.0,7.2,3,5.7,Suburban,73.0,True,False,159.9,2.0,2.0,35.1
130,22,Female,5.1,2.0,0.0,0.8,1.7,4.4,3.9,1.7,1.1,8.8,4.0,3.8,8,2.0,Urban,48.0,False,True,126.4,7.0,9.0,8.7
131,38,Female,4.5,2.9,0.2,0.8,1.3,3.8,4.1,2.2,1.4,7.8,5.0,4.0,6,2.0,Urban,67.0,True,False,185.7,10.0,11.0,25.3
132,25,Female,6.1,2.6,1.2,0.6,1.4,4.5,3.4,1.8,1.0,7.2,4.0,2.2,8,2.8,Urban,62.0,True,False,154.8,11.0,7.0,16.6
133,65,Other,3.2,2.0,0.3,1.1,0.7,1.7,2.7,2.4,2.8,6.6,4.0,9.8,2,3.0,Rural,77.0,False,True,197.1,5.0,4.0,26.5
134,31,Female,2.7,0.3,0.9,0.4,1.7,0.9,1.0,2.6,2.4,7.6,5.0,10.0,1,4.9,Urban,93.0,False,True,60.7,2.0,3.0,25.4
135,22,Other,3.8,0.4,0.9,0.4,1.8,2.8,3.4,1.7,2.7,7.7,5.0,6.9,4,3.4,Urban,60.0,True,True,128.5,2.0,6.0,26.8
136,49,Female,3.2,0.6,0.9,0.2,2.4,2.1,3.4,2.1,1.9,7.8,5.0,8.8,3,8.8,Suburban,85.0,False,False,155.4,5.0,6.0,20.1
137,49,Male,5.3,1.5,3.1,0.3,1.8,2.3,2.5,2.2,2.6,6.7,4.0,6.1,3,5.3,Rural,82.0,False,False,170.9,7.0,3.0,29.1
138,47,Male,4.7,1.7,1.4,0.5,2.3,1.9,2.1,1.8,3.2,7.1,4.0,10.0,2,4.0,Urban,83.0,True,True,196.7,4.0,2.0,32.2
139,73,Female,3.4,0.7,2.5,0.5,0.7,1.4,2.5,3.0,1.9,7.9,5.0,9.0,2,2.6,Suburban,75.0,True,True,244.2,6.0,2.0,17.7
140,19,Male,8.4,2.9,1.7,0.5,2.8,4.5,3.6,1.6,1.0,7.3,3.0,3.3,8,0.6,Urban,51.0,True,False,228.7,15.0,10.0,11.2
141,56,Female,5.4,0.9,3.1,1.2,1.2,3.0,3.9,2.1,2.1,7.8,4.0,6.7,4,4.0,Urban,78.0,True,False,147.6,8.0,10.0,16.2
142,53,Female,3.9,0.8,2.6,1.5,0.0,3.1,3.6,0.5,1.7,7.6,5.0,4.2,5,3.7,Urban,70.0,False,True,173.0,4.0,10.0,26.2
143,72,Male,2.8,2.1,0.8,0.0,1.0,0.9,1.3,1.9,2.6,7.7,5.0,7.2,1,4.5,Suburban,86.0,True,True,60.9,0.0,0.0,17.5
144,55,Female,9.1,2.9,3.7,1.5,2.0,4.5,4.0,1.3,1.3,7.1,4.0,1.0,10,1.3,Rural,47.0,False,True,104.6,19.0,12.0,5.7
145,42,Female,6.3,3.8,1.0,1.0,1.5,3.1,3.6,1.5,0.8,7.2,4.0,4.4,5,3.5,Urban,63.0,True,True,155.6,7.0,4.0,15.7
146,21,Female,4.6,2.5,1.7,0.1,0.0,4.5,4.2,1.4,1.2,6.7,5.0,1.3,8,0.9,Suburban,61.0,True,True,180.4,11.0,10.0,12.0
147,23,Male,7.9,3.4,1.9,0.4,1.6,4.5,3.7,0.6,1.2,7.7,4.0,1.0,10,0.1,Rural,46.0,False,False,112.4,10.0,10.0,9.3
148,22,Male,5.3,0.9,2.0,0.8,1.5,4.5,3.9,0.8,1.1,7.8,3.0,1.0,10,0.0,Urban,45.0,False,False,152.8,16.0,12.0,11.8
149,26,Male,7.3,3.9,2.4,0.0,0.4,4.5,4.0,2.2,0.8,7.3,3.0,1.0,9,2.2,Urban,52.0,False,False,155.7,19.0,15.0,10.0
150,48,Female,2.6,0.3,0.7,0.5,2.0,0.6,1.2,1.5,2.7,7.0,5.0,7.5,1,3.8,Urban,80.0,False,True,165.2,4.0,0.0,38.4
151,47,Male,5.3,1.5,2.3,0.9,1.3,4.5,3.6,0.8,0.6,7.8,4.0,1.0,9,0.0,Urban,44.0,False,True,123.8,15.0,9.0,15.7
152,62,Female,4.0,2.5,2.1,0.2,0.0,0.7,1.4,2.2,2.9,7.3,5.0,8.2,1,5.6,Urban,85.0,True,False,257.1,3.0,1.0,25.0
